粤语,#genre#
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/master.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/master.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/master.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/master.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/master.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/master.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/master.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/master.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/master.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/master.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/master.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/master.m3u8
电影频道,#genre#
YY电影台01,https://live.metshop.top/yy/1382749892
YY电影台02,https://live.metshop.top/yy/1382735573
YY电影台03,https://live.metshop.top/yy/24921161
YY电影台04,https://live.metshop.top/yy/1382736803
YY电影台05,https://live.metshop.top/yy/1354930924
YY电影台06,https://live.metshop.top/yy/1382745095
YY电影台07,https://live.metshop.top/yy/1355171357
YY电影台08,https://live.metshop.top/yy/24066336
YY电影台09,https://live.metshop.top/yy/1354143966
YY李连杰台,https://live.metshop.top/yy/1459869766
YY成龍影院,https://live.metshop.top/yy/1354888751
YY林正英频,https://live.metshop.top/yy/1351505899
YY林正英道,https://live.metshop.top/yy/1353685311
YY電影輪播,https://live.metshop.top/yy/1353059120
YY歐美電影,https://live.metshop.top/yy/24923327
YY歐美科幻,https://live.metshop.top/yy/37988782
YY歐美動作,https://live.metshop.top/yy/1382745089
YY連續劇台,https://live.metshop.top/yy/1352227227
YY剧场频道,https://live.metshop.top/yy/1382702247
YY剧场怀旧,https://live.metshop.top/yy/1382627144
菲菲影院,https://live.metshop.top/yy/1456668939
幸福影院,https://live.metshop.top/yy/1382737886
经典鬼片,https://live.metshop.top/yy/29460894
米娜影院,https://live.metshop.top/yy/1382690078
豪哥影院,https://live.metshop.top/yy/23402146
绝版电影,https://live.metshop.top/yy/1454587259
港片电影,https://live.metshop.top/yy/1355479289
泡芙影院,https://live.metshop.top/yy/24407222
数码测评,https://live.metshop.top/yy/11352878
速度与激情,https://live.metshop.top/yy/1382749892
林正英电影,https://live.metshop.top/yy/34229877
林正英鬼片,https://live.metshop.top/yy/1351505899
菲菲影院,https://live.metshop.top/yy/1456668939
幸福影视,https://live.metshop.top/yy/1382737886
豪哥影视,https://live.metshop.top/yy/23402146
封神榜,https://live.metshop.top/yy/1353426319
知否知否,https://live.metshop.top/yy/21881901
正阳门下,https://live.metshop.top/yy/1354931580
雍正王朝,https://live.metshop.top/yy/23206872
下饭神剧,https://live.metshop.top/yy/23512910
武林外传,https://live.metshop.top/yy/1355914397
盜暮笔记,https://live.metshop.top/yy/1382702247
神医喜来乐,https://live.metshop.top/yy/1382714119
地下交通站,https://live.metshop.top/yy/1353428972
宰相刘罗锅,https://live.metshop.top/yy/1382745191
隋唐英雄传,https://live.metshop.top/yy/1352475619
豆瓣高分,http://43.138.170.29:35455/douyu/8770422
爱情公寓,http://43.138.170.29:35455/douyu/6863367

童年回忆,#genre#
熊出没·逆转时空HD,https://vip.ffzy-online2.com/20230521/37661_330568c0/index.m3u8
龙珠全集解说1,http://cfss.cc/cdn/hy/10279885.m3u8
龙珠全集解说2,http://cfss.cc/cdn/hy/19757963.m3u8
龙珠全集剧集3,http://cfss.cc/cdn/hy/11601966.m3u8
龙珠全集剧集4,http://cfss.cc/cdn/hy/16755322.m3u8
斌哥解说漫说1,http://cfss.cc/cdn/hy/18632116.m3u8
斌哥解说漫说2,http://cfss.cc/cdn/hy/21059621.m3u8
圣斗士集解说1,http://cfss.cc/cdn/hy/27817468.m3u8
圣斗士集解说2,http://cfss.cc/cdn/hy/11352904.m3u8
圣斗士集解说3,http://allinone.netsite.cc/douyu/10349501
足球小将剧集,http://allinone.netsite.cc/douyu/997925
足球小将解说,http://cfss.cc/cdn/hy/25725150.m3u8
灌篮高手剧集,http://allinone.netsite.cc/yy/1356243352
头文字D解说,http://allinone.netsite.cc/douyu/9837291
头文字D剧集,http://cfss.cc/cdn/hy/11352889.m3u8
一人之上漫剧,http://cfss.cc/cdn/hy/11602065.m3u8
叮当全集解说,http://allinone.netsite.cc/douyu/9445279
叮当全集剧集,http://cfss.cc/cdn/hy/11601963.m3u8
料理小当家集,http://allinone.netsite.cc/douyu/8231658
柯南剧场版集,http://allinone.netsite.cc/douyu/6484910
四驱兄弟剧集,http://cfss.cc/cdn/hy/11352922.m3u8
樱桃小丸子剧,http://cfss.cc/cdn/hy/11342394.m3u8
猫和老鼠剧集,http://cfss.cc/cdn/hy/11352879.m3u8
蜡笔小新剧集,http://cfss.cc/cdn/hy/11352970.m3u8
Q版三国剧集,http://cfss.cc/cdn/hy/29465871.m3u8

